square_feet,bedrooms,bathrooms,age_years,distance_to_city_miles,school_rating,crime_index,lot_size_acres,garage_spaces,renovated,sale_price
1620,3,2,20,18.4,4.8,42.9,0.253,2,1,424100.15
2160,2,3,5,16.9,5.7,59.2,0.315,1,0,530292.22
2320,4,3,11,6.4,7.5,20.9,0.276,1,0,980933.68
1840,2,2.5,24,16,9.1,19.7,0.335,2,1,945886.42
2750,3,2.5,20,6.1,8.8,3,0.558,3,0,1760189.49
1850,3,3,35,16.6,5.8,32.8,0.566,2,0,478858.05
2350,4,4,6,5.4,7.2,40.4,0.21,2,1,882055.59
2510,5,5,35,7.9,8.2,26.2,0.178,2,1,1120819.2
2680,4,3.5,14,6.2,8.3,12.9,0.156,2,1,1448467.04
3110,5,4.5,11,4.3,10,14.9,0.107,3,0,1960924.33
2540,5,4,35,19.1,5.6,32,0.924,2,0,589779.91
1550,2,2.5,17,13.9,6.7,43,0.318,1,1,517618.83
3230,6,4.5,28,13.9,6.3,33.3,0.148,4,1,1311385.55
1340,3,3.5,32,3,8.3,23.7,0.076,1,1,697829.98
1920,3,3,52,1.8,10,13.4,0.177,2,1,1207206.28
2620,3,3.5,27,18.4,4.8,41.4,0.471,3,0,598657.11
2700,4,2.5,34,16.3,5.9,33.4,0.268,2,1,842971.86
2570,4,3,48,5.5,7.1,27.3,0.318,2,1,1035179.45
1400,4,3,36,4.5,8.3,18.3,0.223,1,1,816014.37
2340,5,3.5,9,2.8,9.4,10.3,0.433,2,0,1485859.92
2750,5,4.5,15,17.3,5.6,48.7,0.398,2,0,611055.33
3360,5,3.5,25,14.9,5.3,41.9,0.596,1,0,837908.27
2510,4,3.5,12,4.5,5.9,36.6,0.328,3,1,1031967.15
3010,4,3,63,10.3,7.2,19.7,0.409,2,1,1360994.38
2420,4,3,38,4.2,8.3,9.9,0.268,2,0,1374921.02
2300,3,3.5,18,23.8,5.5,50.6,0.537,3,1,585642.57
1520,3,2,9,13.1,5.3,53.9,0.434,1,0,401652.83
2160,4,4,49,6.9,6.6,15.2,0.307,2,1,930959.64
2000,4,2,31,1.2,8.3,13.3,0.16,2,0,1031390.54
